second,is_mode_a,is_mode_b,is_mode_c,mean velocity (m/s),mean wheel speed (rev/min),net rolling energy (J),net aero energy (J),braked energy (J),total energy (J),gross rolling energy (J),gross aero energy (J),inertia energy (J),cumulative rr (J),cumulative aero (J),cumulative braking (J)
382,0,1,0,31.5610871221742,803.697162829631,650.003717492719,2008.69425397936,0,2658.69797147208,3961.44666009652,12241.9840524539,-13544.7327410783,1137919.94199848,2778186.25697009,-1284311.21854528
383,1,0,0,31.494030988062,801.98959095393,3953.02998872238,12164.1200770097,0,22875.1275558804,3953.02998872238,12164.1200770097,6757.97749014841,1141872.9719872,2790350.3770471,-1284311.21854528
384,0,1,0,31.494030988062,801.98959095393,2295.51066472804,7063.66191085558,0,9359.17257558362,3953.02998872238,12164.1200770097,-6757.97749014841,1145826.00197592,2802514.49712411,-1284311.21854528
385,0,1,0,31.2928625857252,796.866875326829,601.951916447601,1828.71689050817,0,2430.66880695577,3927.77997459995,11932.510530309,-13429.6216979532,1149753.78195052,2814447.00765442,-1284311.21854528
386,1,0,0,31.2034544069088,794.590112825896,3916.55774610109,11830.5238150591,0,20210.8320112418,3916.55774610109,11830.5238150591,4463.75045008165,1153670.33969662,2826277.53146948,-1284311.21854528
387,1,0,0,31.2928625857252,796.866875326829,3927.77997459995,11932.510530309,0,20336.8310708933,3927.77997459995,11932.510530309,4476.54056598428,1157598.11967122,2838210.04199979,-1284311.21854528
388,0,1,0,31.2258064516129,795.159303451129,1144.84242323557,3463.11672539872,0,4607.9591486343,3919.36330322581,11855.9657930516,-11167.3699476431,1161517.48297445,2850066.00779284,-1284311.21854528
389,0,1,0,31.0469900939802,790.605778449261,2227.41007186852,6660.90552583923,0,8888.31559770775,3896.91884622809,11653.448372357,-6662.05162087732,1165414.40182068,2861719.45616519,-1284311.21854528
390,1,0,0,31.1140462280925,792.313350324962,3905.33551760224,11729.1198794488,0,28987.3363995871,3905.33551760224,11729.1198794488,13352.8810025361,1169319.73733828,2873448.57604464,-1284311.21854528
391,0,1,0,31.2034544069088,794.590112825896,2806.34971586838,8476.98139521012,0,11283.3311110785,3916.55774610109,11830.5238150591,-4463.75045008165,1173236.29508438,2885279.0998597,-1284311.21854528
392,0,1,0,31.1140462280925,792.313350324962,2793.52873961972,8389.96632325261,0,11183.4950628723,3905.33551760224,11729.1198794488,-4450.96033417866,1177141.63060198,2897008.21973915,-1284311.21854528
393,1,0,0,31.1587503175006,793.451731575429,3910.94663185166,11779.7491041649,0,24605.4065202769,3910.94663185166,11779.7491041649,8914.7107842603,1181052.57723383,2908787.96884332,-1284311.21854528
394,1,0,0,31.3152146304293,797.436065952063,3930.58553172466,11958.0984641264,0,22608.2911382912,3930.58553172466,11958.0984641264,6719.60714244015,1184983.16276556,2920746.06730744,-1284311.21854528
395,0,1,0,31.3822707645415,799.143637827763,3939.00220309881,12035.0816950544,0,15974.0838981532,3939.00220309881,12035.0816950544,0,1188922.16496866,2932781.1490025,-1284311.21854528
396,0,1,0,31.3822707645415,799.143637827763,3939.00220309881,12035.0816950544,0,15974.0838981532,3939.00220309881,12035.0816950544,0,1192861.16717175,2944816.23069755,-1284311.21854528
397,1,0,0,31.5610871221742,803.697162829631,3961.44666009652,12241.9840524539,0,34263.0743673215,3961.44666009652,12241.9840524539,18059.6436547711,1196822.61383185,2957058.21475,-1284311.21854528
398,0,1,0,31.6951993903988,807.112306581031,2876.86230431715,8966.02903096138,0,11842.8913352785,3978.28000284481,12398.7074199807,-4534.09608754694,1200800.8938347,2969456.92216999,-1284311.21854528
399,1,0,0,31.6728473456947,806.543115955798,3975.47444572009,12372.4945165756,0,18613.4182415814,3975.47444572009,12372.4945165756,2265.44927928562,1204776.36828042,2981829.41668656,-1284311.21854528
400,0,1,0,31.6504953009906,805.973925330565,2870.4524032627,8920.83404055667,0,11791.2864438194,3972.66888859538,12346.3185848195,-4527.70102959553,1208749.03716901,2994175.73527138,-1284311.21854528
401,1,0,0,31.6504953009906,805.973925330565,3972.66888859538,12346.3185848195,0,20846.6885030104,3972.66888859538,12346.3185848195,4527.70102959553,1212721.70605761,3006522.0538562,-1284311.21854528
402,1,0,0,31.762255524511,808.819878456732,3986.69667421895,12477.5682210039,0,23279.7979069341,3986.69667421895,12477.5682210039,6815.53301171125,1216708.40273183,3018999.6220772,-1284311.21854528
403,1,0,0,31.8516637033274,811.096640957666,3997.91890271781,12583.23514167,0,18859.3934395762,3997.91890271781,12583.23514167,2278.23939518843,1220706.32163454,3031582.85721887,-1284311.21854528
404,0,1,0,31.762255524511,808.819878456732,1236.14743280275,3868.89577623483,0,5105.04320903758,3986.69667421895,12477.5682210039,-11359.2216861853,1224693.01830876,3044060.42543988,-1284311.21854528
405,1,0,0,31.739903479807,808.250687831498,3983.89111709424,12451.2442461033,0,25516.1176541944,3983.89111709424,12451.2442461033,9080.98229099687,1228676.90942586,3056511.66968598,-1284311.21854528
406,1,0,0,31.9410718821438,813.373403458599,4009.14113121666,12689.4969484296,0,28121.8103453454,4009.14113121666,12689.4969484296,11423.1722656992,1232686.05055707,3069201.16663441,-1284311.21854528
407,1,0,0,32.0975361950724,817.357737835234,4028.78003108966,12876.8915775341,0,21497.3232177338,4028.78003108966,12876.8915775341,4591.65160910996,1236714.83058816,3082078.05821194,-1284311.21854528
408,1,0,0,32.2987045974092,822.480453462335,4054.03004521209,13120.5264335168,0,33346.0592733471,4054.03004521209,13120.5264335168,16171.5027946182,1240768.86063338,3095198.58464546,-1284311.21854528
409,0,1,0,32.3881127762256,824.757215963268,2431.67356638031,7913.53719721939,0,10345.2107635997,4065.25227371095,13229.7877185793,-6949.8292286906,1244834.11290709,3108428.37236404,-1284311.21854528
410,0,1,0,32.3210566421133,823.049644087568,4056.83560233681,13147.7851362376,0,17204.6207385744,4056.83560233681,13147.7851362376,0,1248890.94850942,3121576.15750028,-1284311.21854528
411,0,1,0,32.2763525527051,821.911262837101,2960.18012658069,9567.11795359824,0,12527.2980801789,4051.22448808738,13093.3054330068,-4617.23184091522,1252942.17299751,3134669.46293328,-1284311.21854528
412,0,1,0,32.2092964185928,820.203690961401,3496.68780324653,11254.1687702989,0,14750.8565735454,4042.80781671323,13011.8683838262,-2303.81962699405,1256984.98081422,3147681.33131711,-1284311.21854528
413,0,1,0,32.1645923291847,819.065309710934,3490.67802929519,11203.6616255658,0,14694.339654861,4037.19670246381,12957.7650504156,-2300.62209801835,1261022.17751669,3160639.09636753,-1284311.21854528
414,1,0,0,32.2987045974092,822.480453462335,4054.03004521209,13120.5264335168,0,33346.0592733471,4054.03004521209,13120.5264335168,16171.5027946182,1265076.2075619,3173759.62280104,-1284311.21854528
415,1,0,0,32.499872999746,827.603169089436,4079.28005933452,13367.2151685702,0,22095.7023585773,4079.28005933452,13367.2151685702,4649.20713067262,1269155.48762123,3187126.83796961,-1284311.21854528
416,1,0,0,32.6339852679705,831.018312840836,4096.1134020828,13533.3803176945,0,26966.2783288303,4096.1134020828,13533.3803176945,9336.78460905293,1273251.60102332,3200660.21828731,-1284311.21854528
417,0,0,1,32.4775209550419,827.033978464202,0,0,-8136.92439825196,0,4076.4745022098,13339.6539088696,-25553.0528093314,1277328.07552553,3213999.87219618,-1292448.14294353
