second,is_mode_a,is_mode_b,is_mode_c,mean velocity (m/s),mean wheel speed (rev/min),net rolling energy (J),net aero energy (J),braked energy (J),total energy (J),gross rolling energy (J),gross aero energy (J),inertia energy (J),cumulative rr (J),cumulative aero (J),cumulative braking (J)
744,1,0,0,12.4053848107696,315.900797004565,1557.08420421641,743.407038496586,0,4962.43411498583,1557.08420421641,743.407038496586,2661.94287227283,895946.251106121,794140.796183996,-1498162.22191464
745,1,0,0,12.5618491236982,319.885131381199,1576.72310408941,771.892224138275,0,5942.63789691799,1576.72310408941,771.892224138275,3594.02256869031,897522.97421021,794912.688408135,-1498162.22191464
746,1,0,0,12.7183134366269,323.869465757833,1596.36200396241,801.095917378325,0,5126.54890210333,1596.36200396241,801.095917378325,2729.0909807626,899119.336214173,795713.784325513,-1498162.22191464
747,0,1,0,12.7853695707391,325.577037633533,1604.77867533655,813.833954992498,0,2418.61263032905,1604.77867533655,813.833954992498,0,900724.114889509,796527.618280505,-1498162.22191464
748,0,0,1,12.7183134366269,323.869465757833,0,0,-331.633059421863,0,1596.36200396241,801.095917378325,-2729.0909807626,902320.476893472,797328.714197884,-1498493.85497406
749,0,1,0,12.6289052578105,321.592703256899,980.8416608352,485.315769309808,0,1466.15743014501,1585.13977546355,784.31959031757,-903.301935636114,903905.616668935,798113.033788201,-1498493.85497406
750,0,1,0,12.5618491236982,319.885131381199,370.314725381209,181.289318501321,0,551.604043882529,1576.72310408941,771.892224138275,-1797.01128434515,905482.339773025,798884.926012339,-1498493.85497406
751,0,0,1,12.4053848107696,315.900797004565,0,0,-2136.08021107507,0,1557.08420421641,743.407038496586,-4436.57145378806,907039.423977241,799628.333050836,-1500629.93518514
752,0,0,1,12.1371602743206,309.070509501763,0,0,-3857.26515639633,0,1523.41751871984,696.221143207595,-6076.90381832377,908562.841495961,800324.554194044,-1504487.20034153
753,0,0,1,11.6901193802388,297.686696997094,0,0,-8780.60399879896,0,1467.30637622555,622.089377878237,-10869.9997529027,910030.147872186,800946.643571922,-1513267.80434033
754,0,0,1,10.9525019050038,278.90340636439,0,0,-13781.5626008483,0,1374.72299110998,511.606388986999,-15667.8919809453,911404.870863296,801458.249960909,-1527049.36694118
755,0,0,1,10.0584201168402,256.135781355052,0,0,-12730.1150992385,0,1262.50070612141,396.264585304085,-14388.880390664,912667.371569418,801854.514546213,-1539779.48204042
756,0,0,1,9.05257810515621,230.522203219547,0,0,-14762.3629213011,0,1136.25063550927,288.876882686678,-16187.490439497,913803.622204927,802143.3914289,-1554541.84496172
757,0,0,1,7.93497586995174,202.062671957875,0,0,-12998.5113590636,0,995.972779273559,194.550691345364,-14189.0348296826,914799.5949842,802337.942120245,-1567540.35632078
758,0,0,1,7.01854203708407,178.725856323303,0,0,-7016.6194562967,0,880.944937160274,134.62839350924,-8032.19278696621,915680.539921361,802472.570513754,-1574556.97577708
759,0,0,1,6.1244602489205,155.958231313965,0,0,-9655.29869355634,0,768.722652171704,89.453926383795,-10513.4752721118,916449.262573532,802562.024440138,-1584212.27447064
760,0,0,1,4.89509779019558,124.652746926125,0,0,-10193.9199391396,0,614.417010312421,45.675158572219,-10854.0121080242,917063.679583845,802607.69959871,-1594406.19440978
761,0,0,1,3.48691897383795,88.7937375364181,0,0,-7526.85638351127,0,437.666911455423,16.5090283882776,-7981.03232335497,917501.3464953,802624.208627098,-1601933.05079329
762,0,0,1,2.05638811277623,52.3655375214774,0,0,-4445.26520770886,0,258.111255473711,3.38618905241446,-4706.76265223498,917759.457750774,802627.594816151,-1606378.316001
763,0,0,1,1.00584201168402,25.6135781355052,0,0,-952.519694102355,0,126.250070612141,0.396264585304085,-1079.1660292998,917885.707821386,802627.991080736,-1607330.8356951
764,0,1,0,0.670561341122682,17.0757187570035,84.1667137414275,0.117411728978988,0,84.2841254704065,84.1667137414275,0.117411728978988,0,917969.874535128,802628.108492465,-1607330.8356951
765,0,0,1,0.447040894081788,11.383812504669,0,0,-263.606966415588,0,56.111142494285,0.0347886604382187,-319.752897570311,918025.985677622,802628.143281126,-1607594.44266152
766,0,0,1,0.111760223520447,2.84595312616725,0,0,-25.9407829998983,0,14.0277856235712,0.000543572819347168,-39.9691121962889,918040.013463245,802628.143824698,-1607620.38344452
767,1,0,0,0.670561341122682,17.0757187570035,84.1667137414275,0.117411728978988,0,1523.17216453681,84.1667137414275,0.117411728978988,1438.8880390664,918124.180176987,802628.261236427,-1607620.38344452
768,1,0,0,2.07874015748031,52.9347281467108,260.916812598425,3.49781281801304,0,5171.02283863286,260.916812598425,3.49781281801304,4906.60821321643,918385.096989585,802631.759049245,-1607620.38344452
769,1,0,0,3.55397510795022,90.5013094121185,446.083582829566,17.4799059752048,0,8852.28075656189,446.083582829566,17.4799059752048,8388.71726775712,918831.180572415,802649.238955221,-1607620.38344452
770,1,0,0,5.02921005842012,128.067890677526,631.250353060706,49.5330731630107,0,12551.6097485215,631.250353060706,49.5330731630107,11870.8263222978,919462.430925475,802698.772028384,-1607620.38344452
